As Of;Currency;NAV per Share;Shares Outstanding;Total Net Assets;Fund Return Series;Benchmark Return Series
19/Nov/2025;EUR;6.34;10’640’585.00;67’443’498.32;127.40;126.42
18/Nov/2025;EUR;6.34;10’640’585.00;67’421’413.26;--;--
17/Nov/2025;EUR;6.44;10’640’585.00;68’550’832.05;129.49;128.50
14/Nov/2025;EUR;6.49;10’640’585.00;69’045’585.04;130.43;129.43
13/Nov/2025;EUR;6.55;10’640’585.00;69’747’694.72;131.75;130.75
12/Nov/2025;EUR;6.61;10’640’585.00;70’347’047.39;132.88;131.88
11/Nov/2025;EUR;6.56;9’640’585.00;63’273’166.15;131.92;130.92
10/Nov/2025;EUR;6.48;9’640’585.00;62’437’128.56;130.18;129.18
07/Nov/2025;EUR;6.39;9’640’585.00;61’578’341.83;128.39;127.40
06/Nov/2025;EUR;6.43;9’640’585.00;62’020’027.67;129.31;128.32
05/Nov/2025;EUR;6.49;9’613’459.00;62’348’426.75;130.36;129.37
04/Nov/2025;EUR;6.47;9’613’459.00;62’185’945.86;130.02;129.03
03/Nov/2025;EUR;6.48;9’613’459.00;62’336’426.00;130.33;129.34
31/Oct/2025;EUR;6.49;9’613’459.00;62’388’249.28;130.44;129.45
30/Oct/2025;EUR;6.54;9’613’459.00;62’858’345.49;131.42;130.42
29/Oct/2025;EUR;6.54;9’613’459.00;62’868’560.51;131.45;130.46
28/Oct/2025;EUR;6.56;9’613’459.00;63’046’634.20;131.82;130.82
27/Oct/2025;EUR;6.59;9’613’459.00;63’311’770.63;132.37;131.37
24/Oct/2025;EUR;6.57;9’613’459.00;63’192’646.88;132.12;131.13
23/Oct/2025;EUR;6.56;9’613’459.00;63’099’330.83;131.93;130.93
22/Oct/2025;EUR;6.55;9’613’459.00;62’958’311.92;131.63;130.64
21/Oct/2025;EUR;6.57;9’582’109.00;62’933’002.28;132.01;131.01
20/Oct/2025;EUR;6.55;9’582’109.00;62’766’240.66;131.66;130.66
17/Oct/2025;EUR;6.49;9’627’760.00;62’446’524.47;130.37;129.38
16/Oct/2025;EUR;6.54;9’627’760.00;62’921’471.78;131.36;130.37
15/Oct/2025;EUR;6.50;9’627’760.00;62’579’646.48;130.65;129.66
14/Oct/2025;EUR;6.45;9’627’760.00;62’114’395.86;129.68;128.69
13/Oct/2025;EUR;6.47;9’627’760.00;62’274’481.06;130.01;129.02
10/Oct/2025;EUR;6.44;9’627’760.00;61’966’455.71;129.37;128.39
09/Oct/2025;EUR;6.51;9’618’127.00;62’606’797.52;130.84;129.85
08/Oct/2025;EUR;6.54;9’618’127.00;62’940’621.73;131.53;130.54
07/Oct/2025;EUR;6.49;9’618’127.00;62’451’325.25;130.51;129.53
06/Oct/2025;EUR;6.50;9’618’127.00;62’534’186.93;130.68;129.70
03/Oct/2025;EUR;6.49;9’618’127.00;62’469’106.87;130.55;129.56
02/Oct/2025;EUR;6.46;10’618’127.00;68’567’986.10;129.80;128.82
01/Oct/2025;EUR;6.42;10’618’127.00;68’132’739.63;128.97;128.00
30/Sept/2025;EUR;6.33;10’618’127.00;67’205’913.43;127.22;126.26
29/Sept/2025;EUR;6.30;10’618’127.00;66’870’805.11;126.59;125.62
26/Sept/2025;EUR;6.27;10’618’127.00;66’626’498.21;126.12;125.16
25/Sept/2025;EUR;6.23;10’618’127.00;66’147’439.11;125.22;124.26
24/Sept/2025;EUR;6.28;10’618’127.00;66’652’183.05;126.17;125.21
23/Sept/2025;EUR;6.30;10’618’127.00;66’908’625.01;126.66;125.69
22/Sept/2025;EUR;6.29;9’618’127.00;60’479’764.75;126.39;125.43
19/Sept/2025;EUR;6.29;9’618’127.00;60’500’823.96;126.43;125.47
18/Sept/2025;EUR;6.30;9’618’127.00;60’639’002.86;126.72;125.76
17/Sept/2025;EUR;6.25;9’618’127.00;60’096’027.04;125.59;124.63
16/Sept/2025;EUR;6.24;9’618’127.00;59’994’387.18;125.38;124.42
15/Sept/2025;EUR;6.31;9’618’127.00;60’718’487.23;126.89;125.92
12/Sept/2025;EUR;6.29;9’618’127.00;60’533’933.31;126.50;125.53
11/Sept/2025;EUR;6.30;9’618’127.00;60’584’287.75;126.61;125.63
10/Sept/2025;EUR;6.28;9’617’103.00;60’354’723.83;126.14;125.17
09/Sept/2025;EUR;6.28;9’617’103.00;60’409’936.28;126.26;125.29
08/Sept/2025;EUR;6.28;9’617’103.00;60’438’005.85;126.32;125.35
05/Sept/2025;EUR;6.25;9’617’103.00;60’154’701.45;125.72;124.76
04/Sept/2025;EUR;6.25;7’605’947.00;47’546’615.90;125.65;124.68
03/Sept/2025;EUR;6.21;7’338’867.00;45’597’479.61;124.88;123.92
02/Sept/2025;EUR;6.16;7’278’867.00;44’843’745.28;123.83;122.88
01/Sept/2025;EUR;6.26;7’297’127.00;45’670’565.12;125.80;124.83
29/Aug/2025;EUR;6.25;7’297’127.00;45’610’064.12;125.63;124.66
28/Aug/2025;EUR;6.30;7’297’127.00;45’981’812.81;126.66;125.68
27/Aug/2025;EUR;6.32;7’297’127.00;46’086’877.33;126.95;125.97
26/Aug/2025;EUR;6.30;7’297’127.00;45’975’390.26;126.64;125.66
22/Aug/2025;EUR;6.39;7’297’127.00;46’651’180.56;128.50;127.50
21/Aug/2025;EUR;6.36;7’297’127.00;46’403’004.76;127.82;126.82
20/Aug/2025;EUR;6.37;7’297’127.00;46’514’775.97;128.12;127.13
19/Aug/2025;EUR;6.36;7’297’127.00;46’416’925.04;127.86;126.86
18/Aug/2025;EUR;6.31;7’297’127.00;46’025’896.93;126.78;125.79
15/Aug/2025;EUR;6.30;7’297’127.00;45’954’034.63;126.58;125.59
14/Aug/2025;EUR;6.29;7’297’127.00;45’921’099.39;126.49;125.50
13/Aug/2025;EUR;6.26;7’297’127.00;45’669’683.62;125.80;124.82
12/Aug/2025;EUR;6.22;7’297’127.00;45’383’649.80;125.01;124.03
11/Aug/2025;EUR;6.21;7’297’127.00;45’337’268.48;124.88;123.91
08/Aug/2025;EUR;6.22;7’297’127.00;45’402’600.82;125.06;124.08
07/Aug/2025;EUR;6.21;7’297’127.00;45’339’823.72;124.89;123.91
06/Aug/2025;EUR;6.13;7’297’127.00;44’746’840.87;123.26;122.29
05/Aug/2025;EUR;6.15;7’625’809.00;46’896’058.93;123.61;122.63
04/Aug/2025;EUR;6.14;7’625’809.00;46’835’156.11;123.45;122.47
01/Aug/2025;EUR;6.09;7’625’809.00;46’408’741.93;122.32;121.36
31/Jul/2025;EUR;6.20;7’673’285.00;47’600’001.27;124.69;123.70
30/Jul/2025;EUR;6.28;7’673’285.00;48’150’601.59;126.13;125.13
29/Jul/2025;EUR;6.28;7’673’285.00;48’180’167.85;126.21;125.21
28/Jul/2025;EUR;6.28;7’673’285.00;48’184’599.66;126.22;125.22
25/Jul/2025;EUR;6.29;7’673’285.00;48’230’807.30;126.34;125.34
24/Jul/2025;EUR;6.30;7’673’285.00;48’339’579.08;126.62;125.63
23/Jul/2025;EUR;6.28;7’673’285.00;48’205’151.87;126.27;125.27
22/Jul/2025;EUR;6.22;7’633’285.00;47’449’131.70;124.94;123.96
21/Jul/2025;EUR;6.25;7’633’285.00;47’678’207.85;125.55;124.56
18/Jul/2025;EUR;6.25;7’633’285.00;47’687’059.98;125.57;124.59
17/Jul/2025;EUR;6.25;7’633’285.00;47’723’746.61;125.67;124.68
16/Jul/2025;EUR;6.18;7’633’285.00;47’180’799.55;124.24;123.26
15/Jul/2025;EUR;6.22;7’633’285.00;47’489’289.61;125.05;124.07
14/Jul/2025;EUR;6.24;7’633’285.00;47’605’947.15;125.36;124.37
11/Jul/2025;EUR;6.24;7’633’285.00;47’658’896.98;125.50;124.51
10/Jul/2025;EUR;6.32;7’633’285.00;48’225’761.86;126.99;125.99
09/Jul/2025;EUR;6.28;7’679’519.00;48’229’106.62;126.23;125.24
08/Jul/2025;EUR;6.24;7’679’519.00;47’906’651.40;125.39;124.40
07/Jul/2025;EUR;6.22;7’679’519.00;47’783’979.81;125.07;124.08
04/Jul/2025;EUR;6.19;7’679’519.00;47’564’887.55;124.49;123.51
03/Jul/2025;EUR;6.22;7’679’519.00;47’790’379.10;125.08;124.10
02/Jul/2025;EUR;6.20;7’679’519.00;47’584’868.43;124.55;123.57
01/Jul/2025;EUR;6.19;7’679’519.00;47’549’113.57;124.45;123.48
30/Jun/2025;EUR;6.19;7’930’597.00;49’110’479.07;124.47;123.50
27/Jun/2025;EUR;6.23;7’930’597.00;49’367’963.53;125.12;124.14
26/Jun/2025;EUR;6.15;7’930’597.00;48’786’046.01;123.65;122.68
25/Jun/2025;EUR;6.15;7’930’597.00;48’782’130.38;123.64;122.67
24/Jun/2025;EUR;6.20;7’930’597.00;49’163’253.65;124.60;123.62
23/Jun/2025;EUR;6.12;7’930’597.00;48’574’124.03;123.11;122.14
20/Jun/2025;EUR;6.14;7’930’597.00;48’671’890.36;123.36;122.40
19/Jun/2025;EUR;6.13;7’930’597.00;48’629’086.74;123.25;122.29
18/Jun/2025;EUR;6.18;7’930’597.00;49’001’533.92;124.19;123.23
17/Jun/2025;EUR;6.21;8’002’788.00;49’690’309.09;124.80;123.83
16/Jun/2025;EUR;6.27;8’002’788.00;50’149’604.93;125.96;124.96
13/Jun/2025;EUR;6.25;8’002’788.00;49’982’921.57;125.54;124.54
12/Jun/2025;EUR;6.31;8’002’788.00;50’499’491.46;126.84;125.83
11/Jun/2025;EUR;6.34;8’002’788.00;50’739’855.92;127.44;126.43
10/Jun/2025;EUR;6.36;8’002’788.00;50’931’210.05;127.92;126.91
09/Jun/2025;EUR;6.36;8’002’788.00;50’877’356.66;127.78;126.78
06/Jun/2025;EUR;6.36;8’002’788.00;50’929’484.35;127.92;126.92
05/Jun/2025;EUR;6.33;8’002’788.00;50’697’240.49;127.33;126.34
04/Jun/2025;EUR;6.33;8’002’788.00;50’649’930.22;--;--
03/Jun/2025;EUR;6.29;8’185’389.00;51’449’648.79;126.34;125.35
02/Jun/2025;EUR;6.29;8’185’389.00;51’486’633.42;126.43;125.44
30/May/2025;EUR;6.30;8’185’389.00;51’565’346.90;126.62;125.63
29/May/2025;EUR;6.29;8’185’389.00;51’506’112.60;126.48;125.49
28/May/2025;EUR;6.29;8’185’389.00;51’525’466.04;126.53;125.53
27/May/2025;EUR;6.34;8’185’389.00;51’870’828.99;127.37;126.38
23/May/2025;EUR;6.26;8’185’389.00;51’266’032.59;125.89;124.91
22/May/2025;EUR;6.32;8’185’389.00;51’724’658.61;127.01;126.03
21/May/2025;EUR;6.36;8’185’389.00;52’095’993.81;127.93;126.94
20/May/2025;EUR;6.36;8’185’389.00;52’094’686.35;127.92;126.95
19/May/2025;EUR;6.32;8’185’389.00;51’725’085.41;127.02;126.06
16/May/2025;EUR;6.31;8’185’389.00;51’621’061.16;126.76;125.83
15/May/2025;EUR;6.28;8’185’389.00;51’425’006.93;126.28;125.35
14/May/2025;EUR;6.24;8’185’389.00;51’100’562.04;125.48;124.57
13/May/2025;EUR;6.26;8’185’389.00;51’231’219.40;125.80;124.89
12/May/2025;EUR;6.25;8’185’389.00;51’173’929.11;125.66;124.75
09/May/2025;EUR;6.17;8’185’389.00;50’500’573.55;124.01;123.12
08/May/2025;EUR;6.14;8’185’389.00;50’228’467.04;123.34;122.46
07/May/2025;EUR;6.12;8’185’389.00;50’073’761.17;122.96;122.08
06/May/2025;EUR;6.15;8’185’389.00;50’363’715.89;123.67;122.80
02/May/2025;EUR;6.15;8’271’183.00;50’847’936.54;123.57;122.73
01/May/2025;EUR;6.04;8’271’183.00;49’994’578.18;121.49;120.68
30/Apr/2025;EUR;6.04;8’456’228.00;51’115’462.48;121.50;120.68
29/Apr/2025;EUR;6.00;8’456’228.00;50’730’986.47;120.58;119.80
28/Apr/2025;EUR;5.98;8’456’228.00;50’581’504.06;120.23;119.46
25/Apr/2025;EUR;5.95;8’456’228.00;50’327’453.35;119.63;118.86
24/Apr/2025;EUR;5.93;8’456’228.00;50’141’163.57;119.18;118.43
23/Apr/2025;EUR;5.90;8’456’228.00;49’901’062.27;118.61;117.87
22/Apr/2025;EUR;5.80;8’456’228.00;49’022’412.70;116.52;115.79
17/Apr/2025;EUR;5.77;8’456’228.00;48’831’289.30;116.07;115.36
16/Apr/2025;EUR;5.78;8’456’228.00;48’913’269.44;116.26;115.55
15/Apr/2025;EUR;5.80;8’456’228.00;49’062’806.69;116.62;115.92
14/Apr/2025;EUR;5.71;8’456’228.00;48’285’845.23;114.77;114.08
11/Apr/2025;EUR;5.57;8’456’228.00;47’064’887.59;111.87;111.19
10/Apr/2025;EUR;5.56;8’456’228.00;47’038’246.70;111.81;111.13
09/Apr/2025;EUR;5.36;8’456’228.00;45’291’575.19;107.66;106.99
08/Apr/2025;EUR;5.55;8’456’228.00;46’901’637.32;111.48;110.80
07/Apr/2025;EUR;5.40;8’456’228.00;45’626’418.51;108.45;107.79
04/Apr/2025;EUR;5.66;8’456’228.00;47’844’666.93;113.72;113.02
03/Apr/2025;EUR;5.93;8’456’228.00;50’164’892.47;119.24;118.51
02/Apr/2025;EUR;6.07;8’456’228.00;51’364’014.17;122.09;121.35
01/Apr/2025;EUR;6.10;8’456’228.00;51’547’398.55;122.52;121.80
31/Mar/2025;EUR;6.03;8’456’228.00;51’015’720.23;121.26;120.55
28/Mar/2025;EUR;6.13;7’456’228.00;45’736’509.54;123.29;122.57
27/Mar/2025;EUR;6.17;7’456’228.00;45’991’528.31;123.98;123.26
26/Mar/2025;EUR;6.19;7’456’228.00;46’116’838.16;124.32;123.61
25/Mar/2025;EUR;6.24;9’456’228.00;58’991’559.01;125.39;124.68
24/Mar/2025;EUR;6.20;9’456’228.00;58’662’329.92;124.69;123.99
21/Mar/2025;EUR;6.21;9’456’228.00;58’751’308.35;124.88;124.18
20/Mar/2025;EUR;6.25;9’456’228.00;59’120’118.39;125.66;124.97
19/Mar/2025;EUR;6.27;9’547’685.00;59’861’996.54;126.02;125.33
18/Mar/2025;EUR;6.26;9’547’685.00;59’760’011.82;125.81;125.11
17/Mar/2025;EUR;6.23;9’547’685.00;59’458’109.92;125.17;124.49
14/Mar/2025;EUR;6.18;10’009’685.00;61’813’675.57;124.12;123.45
13/Mar/2025;EUR;6.12;10’009’685.00;61’244’269.50;122.98;122.31
12/Mar/2025;EUR;6.13;10’009’685.00;61’376’674.19;123.25;122.58
11/Mar/2025;EUR;6.10;10’009’685.00;61’023’310.51;122.54;121.87
10/Mar/2025;EUR;6.21;10’009’685.00;62’126’867.92;124.75;124.07
07/Mar/2025;EUR;6.28;10’009’685.00;62’884’549.59;126.28;125.57
06/Mar/2025;EUR;6.30;9’936’745.00;62’622’386.75;126.67;125.97
05/Mar/2025;EUR;6.31;9’936’745.00;62’727’617.61;126.88;126.18
04/Mar/2025;EUR;6.26;9’936’745.00;62’249’862.98;125.92;125.22
03/Mar/2025;EUR;6.39;9’936’745.00;63’469’872.98;128.39;127.66
28/Feb/2025;EUR;6.34;9’936’745.00;63’047’199.57;127.53;126.83
27/Feb/2025;EUR;6.34;9’936’745.00;63’036’493.30;127.51;126.82
26/Feb/2025;EUR;6.38;9’936’745.00;63’425’340.36;128.30;127.59
25/Feb/2025;EUR;6.32;9’936’745.00;62’824’534.22;127.08;126.38
24/Feb/2025;EUR;6.32;9’936’745.00;62’753’046.22;126.94;126.24
21/Feb/2025;EUR;6.34;9’936’745.00;62’962’657.69;127.36;126.67
20/Feb/2025;EUR;6.30;9’936’745.00;62’571’428.92;126.57;125.88
19/Feb/2025;EUR;6.29;9’936’745.00;62’519’940.21;126.46;125.78
18/Feb/2025;EUR;6.35;9’936’745.00;63’105’550.75;127.65;126.95
17/Feb/2025;EUR;6.33;9’936’745.00;62’916’034.03;127.27;126.57
14/Feb/2025;EUR;6.31;9’936’745.00;62’668’081.76;126.76;126.06
13/Feb/2025;EUR;6.33;9’936’745.00;62’866’138.92;127.16;126.48
12/Feb/2025;EUR;6.25;9’936’745.00;62’063’995.73;125.54;124.85
11/Feb/2025;EUR;6.25;9’936’745.00;62’064’705.99;125.54;124.85
10/Feb/2025;EUR;6.24;9’918’135.00;61’886’731.09;125.42;124.72
07/Feb/2025;EUR;6.20;9’918’135.00;61’494’346.68;124.62;123.94
06/Feb/2025;EUR;6.24;9’918’135.00;61’849’097.41;125.34;124.65
05/Feb/2025;EUR;6.16;9’918’135.00;61’143’403.84;123.91;123.22
04/Feb/2025;EUR;6.13;9’918’135.00;60’846’149.95;123.31;122.63
03/Feb/2025;EUR;6.12;9’918’135.00;60’708’852.58;123.03;122.35
31/Jan/2025;EUR;6.18;9’918’135.00;61’278’074.81;124.19;123.50
30/Jan/2025;EUR;6.17;9’918’135.00;61’190’526.35;124.01;123.32
29/Jan/2025;EUR;6.12;9’918’135.00;60’697’618.86;123.01;122.34
28/Jan/2025;EUR;6.09;7’518’135.00;45’782’121.52;122.40;121.73
27/Jan/2025;EUR;6.07;7’323’345.00;44’481’059.73;122.08;121.41
24/Jan/2025;EUR;6.08;7’323’345.00;44’539’216.75;122.24;121.57
23/Jan/2025;EUR;6.08;7’235’246.00;43’984’109.98;122.19;121.52
22/Jan/2025;EUR;6.06;7’235’246.00;43’851’496.35;121.82;121.14
21/Jan/2025;EUR;6.03;7’235’246.00;43’644’223.33;121.25;120.57
20/Jan/2025;EUR;6.00;4’235’246.00;25’424’940.55;120.66;119.98
17/Jan/2025;EUR;6.01;4’235’246.00;25’438’253.79;120.73;120.05
16/Jan/2025;EUR;5.97;4’235’246.00;25’265’812.09;119.91;119.24
15/Jan/2025;EUR;5.91;4’235’246.00;25’032’547.22;118.80;118.12
14/Jan/2025;EUR;5.83;4’235’246.00;24’670’380.81;117.08;116.42
13/Jan/2025;EUR;5.83;4’235’246.00;24’699’453.93;117.22;116.56
10/Jan/2025;EUR;5.87;4’235’246.00;24’868’703.30;118.02;117.36
09/Jan/2025;EUR;5.94;4’235’246.00;25’139’309.94;119.31;118.64
08/Jan/2025;EUR;5.91;4’235’246.00;25’016’026.14;118.72;118.06
07/Jan/2025;EUR;5.92;4’235’246.00;25’092’182.02;119.08;118.41
06/Jan/2025;EUR;5.91;4’235’246.00;25’025’754.91;118.77;118.09
03/Jan/2025;EUR;5.85;4’235’246.00;24’789’189.06;117.65;116.97
02/Jan/2025;EUR;5.88;4’235’246.00;24’924’159.06;118.29;117.62
31/Dec/2024;EUR;5.85;4’235’246.00;24’791’949.03;117.66;117.00
30/Dec/2024;EUR;5.82;4’216’286.00;24’554’486.28;117.06;116.39
27/Dec/2024;EUR;5.86;4’216’286.00;24’690’232.63;117.70;117.04
24/Dec/2024;EUR;5.82;4’216’286.00;24’535’213.55;116.96;116.30
23/Dec/2024;EUR;5.81;4’216’286.00;24’500’394.56;116.80;116.13
20/Dec/2024;EUR;5.80;4’216’286.00;24’446’253.58;116.54;115.87
19/Dec/2024;EUR;5.85;4’216’286.00;24’656’031.50;117.54;116.88
18/Dec/2024;EUR;5.94;4’216’286.00;25’059’403.30;119.46;118.79
17/Dec/2024;EUR;5.94;4’216’286.00;25’042’490.62;119.38;118.70
16/Dec/2024;EUR;5.96;4’216’286.00;25’114’606.97;119.73;119.04
13/Dec/2024;EUR;5.96;4’216’286.00;25’125’023.42;119.78;119.10
12/Dec/2024;EUR;5.99;4’197’886.00;25’164’125.93;120.49;119.80
11/Dec/2024;EUR;6.01;4’197’886.00;25’219’926.15;120.76;120.07
10/Dec/2024;EUR;5.99;4’197’886.00;25’158’150.34;120.46;119.77
09/Dec/2024;EUR;6.02;4’197’886.00;25’289’848.45;121.09;120.41
06/Dec/2024;EUR;6.03;4’197’886.00;25’302’069.20;121.15;120.46
05/Dec/2024;EUR;6.01;4’197’886.00;25’236’697.40;120.84;120.15
04/Dec/2024;EUR;5.99;4’197’886.00;25’132’626.41;120.34;119.65
03/Dec/2024;EUR;5.96;4’197’886.00;25’040’091.98;119.89;119.21
02/Dec/2024;EUR;5.95;4’151’797.00;24’689’753.05;119.53;118.84
29/Nov/2024;EUR;5.91;4’151’797.00;24’526’195.06;118.74;118.06
28/Nov/2024;EUR;5.87;4’151’797.00;24’384’861.69;118.05;117.38
27/Nov/2024;EUR;5.85;4’151’797.00;24’295’322.41;117.62;116.95
26/Nov/2024;EUR;5.87;4’151’797.00;24’350’796.91;117.89;117.22
25/Nov/2024;EUR;5.90;4’022’836.00;23’737’041.99;118.60;117.91
22/Nov/2024;EUR;5.89;3’943’308.00;23’219’175.91;118.35;117.67
21/Nov/2024;EUR;5.81;3’943’308.00;22’900’998.24;116.73;116.05
20/Nov/2024;EUR;5.78;3’943’308.00;22’789’853.48;116.17;115.49
19/Nov/2024;EUR;5.78;3’943’308.00;22’801’195.49;116.22;115.55
18/Nov/2024;EUR;5.80;3’943’308.00;22’883’522.59;116.64;115.96
15/Nov/2024;EUR;5.82;3’924’298.00;22’819’946.08;116.88;116.22
14/Nov/2024;EUR;5.86;3’924’298.00;23’002’697.73;117.82;117.15
13/Nov/2024;EUR;5.79;3’924’298.00;22’734’762.85;116.45;115.78
12/Nov/2024;EUR;5.80;3’894’108.00;22’602’218.77;116.66;116.00
11/Nov/2024;EUR;5.92;3’894’108.00;23’047’370.95;118.96;118.28
08/Nov/2024;EUR;5.85;3’894’108.00;22’790’479.24;117.64;116.96
07/Nov/2024;EUR;5.88;3’894’108.00;22’883’392.83;118.12;117.44
06/Nov/2024;EUR;5.84;3’894’108.00;22’758’900.02;117.47;116.80
