As Of;Currency;NAV per Share;Shares Outstanding;Total Net Assets;Fund Return Series;Benchmark Return Series
05/Sept/2022;EUR;4.54;677’943.00;3’079’485.35;91.30;91.11
02/Sept/2022;EUR;4.57;677’943.00;3’100’398.93;91.92;91.73
01/Sept/2022;EUR;4.48;677’943.00;3’040’329.29;90.14;89.95
31/Aug/2022;EUR;4.57;677’943.00;3’098’680.73;91.87;91.68
30/Aug/2022;EUR;4.62;677’943.00;3’131’150.89;92.83;92.65
26/Aug/2022;EUR;4.70;677’943.00;3’186’135.53;94.46;94.27
25/Aug/2022;EUR;4.79;677’943.00;3’244’468.35;96.19;95.99
24/Aug/2022;EUR;4.77;677’943.00;3’236’936.03;95.97;95.77
23/Aug/2022;EUR;4.76;677’943.00;3’224’014.15;95.59;95.38
22/Aug/2022;EUR;4.79;677’943.00;3’250’182.12;96.36;96.16
19/Aug/2022;EUR;4.84;677’943.00;3’283’465.50;97.35;97.15
18/Aug/2022;EUR;4.88;677’943.00;3’305’487.09;98.00;97.80
17/Aug/2022;EUR;4.86;637’943.00;3’101’408.17;97.72;97.51
16/Aug/2022;EUR;4.91;637’943.00;3’131’297.02;98.66;98.46
15/Aug/2022;EUR;4.91;637’943.00;3’131’982.83;98.68;98.48
12/Aug/2022;EUR;4.88;637’943.00;3’114’037.21;98.12;97.91
11/Aug/2022;EUR;4.88;637’943.00;3’115’706.52;98.17;97.97
10/Aug/2022;EUR;4.89;617’943.00;3’018’876.71;98.20;98.00
09/Aug/2022;EUR;4.83;617’943.00;2’985’151.97;97.10;96.89
08/Aug/2022;EUR;4.87;617’943.00;3’008’243.03;97.85;97.65
05/Aug/2022;EUR;4.83;617’943.00;2’985’621.95;97.11;96.91
04/Aug/2022;EUR;4.88;617’943.00;3’015’060.39;98.07;97.87
03/Aug/2022;EUR;4.86;617’943.00;3’003’897.34;97.71;97.51
02/Aug/2022;EUR;4.84;617’943.00;2’993’253.92;97.36;97.16
01/Aug/2022;EUR;4.86;617’943.00;3’006’182.19;97.78;97.58
29/Jul/2022;EUR;4.87;617’943.00;3’009’700.41;97.90;97.69
28/Jul/2022;EUR;4.81;617’943.00;2’972’849.06;96.70;96.49
27/Jul/2022;EUR;4.75;617’943.00;2’932’729.06;95.39;95.19
26/Jul/2022;EUR;4.73;617’943.00;2’924’149.89;95.11;94.90
25/Jul/2022;EUR;4.73;617’943.00;2’922’654.09;95.07;94.86
22/Jul/2022;EUR;4.73;617’943.00;2’924’146.33;95.11;94.91
21/Jul/2022;EUR;4.71;617’943.00;2’908’779.88;94.61;94.41
20/Jul/2022;EUR;4.67;617’943.00;2’887’222.61;93.91;93.71
19/Jul/2022;EUR;4.68;617’943.00;2’891’259.00;94.04;93.84
18/Jul/2022;EUR;4.62;617’943.00;2’856’790.60;92.92;92.71
15/Jul/2022;EUR;4.59;617’943.00;2’836’654.67;92.27;92.06
14/Jul/2022;EUR;4.51;617’943.00;2’787’492.30;90.67;90.46
13/Jul/2022;EUR;4.57;617’943.00;2’824’715.88;91.88;91.67
12/Jul/2022;EUR;4.61;617’943.00;2’851’092.00;92.74;92.53
11/Jul/2022;EUR;4.59;617’943.00;2’834’360.63;92.19;91.98
08/Jul/2022;EUR;4.60;617’943.00;2’842’591.98;92.46;92.25
07/Jul/2022;EUR;4.58;617’943.00;2’830’913.26;92.08;91.87
06/Jul/2022;EUR;4.51;597’943.00;2’695’978.19;90.63;90.41
05/Jul/2022;EUR;4.42;597’943.00;2’645’398.73;88.93;88.71
04/Jul/2022;EUR;4.48;597’943.00;2’678’783.19;90.05;89.83
01/Jul/2022;EUR;4.46;597’943.00;2’668’148.99;89.69;89.48
30/Jun/2022;EUR;4.46;597’943.00;2’664’389.34;89.56;89.36
29/Jun/2022;EUR;4.51;597’943.00;2’698’231.34;90.70;90.49
28/Jun/2022;EUR;4.54;597’943.00;2’714’881.06;91.26;91.06
27/Jun/2022;EUR;4.53;597’943.00;2’709’588.91;91.08;90.88
24/Jun/2022;EUR;4.51;597’943.00;2’697’074.70;90.66;90.46
23/Jun/2022;EUR;4.39;597’943.00;2’623’255.13;88.18;87.98
22/Jun/2022;EUR;4.41;597’943.00;2’636’388.88;88.62;88.42
21/Jun/2022;EUR;4.43;597’943.00;2’647’206.62;88.99;88.79
20/Jun/2022;EUR;4.42;597’943.00;2’641’808.00;88.80;88.61
17/Jun/2022;EUR;4.39;597’943.00;2’624’655.38;88.23;88.05
16/Jun/2022;EUR;4.38;597’943.00;2’616’898.45;87.97;87.78
15/Jun/2022;EUR;4.47;597’943.00;2’674’835.13;89.91;89.72
14/Jun/2022;EUR;4.41;597’943.00;2’635’251.96;88.58;88.40
13/Jun/2022;EUR;4.48;597’943.00;2’678’037.38;90.02;89.81
10/Jun/2022;EUR;4.59;597’943.00;2’741’736.75;92.16;91.97
09/Jun/2022;EUR;4.70;597’943.00;2’810’105.08;94.46;94.27
08/Jun/2022;EUR;4.76;597’943.00;2’847’365.56;95.71;95.51
07/Jun/2022;EUR;4.79;597’943.00;2’865’521.22;96.32;96.13
06/Jun/2022;EUR;4.81;597’943.00;2’875’069.10;96.65;96.45
01/Jun/2022;EUR;4.75;597’943.00;2’839’913.44;95.46;95.27
31/May/2022;EUR;4.80;597’943.00;2’871’211.42;96.52;96.30
30/May/2022;EUR;4.85;597’943.00;2’899’795.37;97.48;97.25
27/May/2022;EUR;4.81;597’943.00;2’876’727.60;96.70;96.48
26/May/2022;EUR;4.75;597’943.00;2’837’531.26;95.38;95.16
25/May/2022;EUR;4.71;597’943.00;2’817’867.54;94.72;94.51
24/May/2022;EUR;4.69;597’943.00;2’806’244.58;94.33;94.12
23/May/2022;EUR;4.73;597’943.00;2’829’584.61;95.12;94.90
20/May/2022;EUR;4.67;597’943.00;2’793’307.96;93.90;93.70
19/May/2022;EUR;4.64;597’943.00;2’771’482.18;93.16;92.96
18/May/2022;EUR;4.70;597’943.00;2’808’957.28;94.42;94.25
17/May/2022;EUR;4.75;597’943.00;2’839’402.58;95.45;95.27
16/May/2022;EUR;4.69;597’943.00;2’806’527.53;94.34;94.18
13/May/2022;EUR;4.69;597’943.00;2’804’889.37;94.29;94.12
12/May/2022;EUR;4.60;597’943.00;2’751’670.03;92.50;92.34
11/May/2022;EUR;4.64;597’943.00;2’771’653.18;93.17;93.01
10/May/2022;EUR;4.56;597’943.00;2’729’242.61;91.74;91.59
09/May/2022;EUR;4.53;597’943.00;2’709’368.54;91.08;90.92
06/May/2022;EUR;4.67;597’943.00;2’792’939.12;93.88;93.73
05/May/2022;EUR;4.78;597’943.00;2’855’196.73;95.98;95.86
04/May/2022;EUR;4.82;597’943.00;2’881’292.87;96.86;96.75
03/May/2022;EUR;4.87;597’943.00;2’913’150.79;97.93;97.82
29/Apr/2022;EUR;4.93;597’943.00;2’947’623.66;99.08;98.99
28/Apr/2022;EUR;4.90;597’943.00;2’931’354.37;98.54;98.45
27/Apr/2022;EUR;4.88;597’943.00;2’916’860.92;98.05;97.97
26/Apr/2022;EUR;4.84;597’943.00;2’891’861.74;97.21;97.14
25/Apr/2022;EUR;4.88;597’943.00;2’919’818.88;98.15;98.10
22/Apr/2022;EUR;4.95;597’943.00;2’962’149.12;99.57;99.53
21/Apr/2022;EUR;5.04;597’943.00;3’014’465.93;101.33;101.29
20/Apr/2022;EUR;5.03;597’943.00;3’008’264.25;101.12;101.08
19/Apr/2022;EUR;4.98;597’943.00;2’980’142.06;100.18;100.13
14/Apr/2022;EUR;5.03;597’943.00;3’007’223.00;101.09;101.04
13/Apr/2022;EUR;4.99;597’943.00;2’986’621.06;100.40;100.35
12/Apr/2022;EUR;5.00;597’943.00;2’991’086.32;100.55;100.50
11/Apr/2022;EUR;5.03;597’943.00;3’007’902.99;101.11;101.07
08/Apr/2022;EUR;5.06;597’943.00;3’028’366.23;101.80;101.76
07/Apr/2022;EUR;5.00;597’943.00;2’991’546.77;100.56;100.52
06/Apr/2022;EUR;5.00;597’943.00;2’989’442.29;100.49;100.46
05/Apr/2022;EUR;5.08;597’943.00;3’039’412.40;102.17;102.13
04/Apr/2022;EUR;5.06;597’943.00;3’023’661.35;101.64;101.60
01/Apr/2022;EUR;5.02;597’943.00;3’002’375.14;100.93;100.89
31/Mar/2022;EUR;4.99;597’943.00;2’985’833.56;100.37;100.33
30/Mar/2022;EUR;5.02;597’943.00;3’003’507.42;100.96;100.93
29/Mar/2022;EUR;5.04;597’943.00;3’012’898.41;101.28;101.26
28/Mar/2022;EUR;4.96;597’943.00;2’964’367.11;99.65;99.62
25/Mar/2022;EUR;4.94;597’943.00;2’956’200.11;99.37;99.34
24/Mar/2022;EUR;4.95;597’943.00;2’957’265.96;99.41;99.38
23/Mar/2022;EUR;4.96;597’943.00;2’963’934.38;99.63;99.60
22/Mar/2022;EUR;5.02;597’943.00;3’000’794.55;100.87;100.84
21/Mar/2022;EUR;4.98;597’943.00;2’976’387.99;100.05;100.03
18/Mar/2022;EUR;4.99;597’943.00;2’983’685.37;100.30;100.28
17/Mar/2022;EUR;4.94;597’943.00;2’955’734.65;99.36;99.33
16/Mar/2022;EUR;4.91;597’943.00;2’937’092.29;98.73;98.70
15/Mar/2022;EUR;4.78;597’943.00;2’855’574.29;95.99;95.95
14/Mar/2022;EUR;4.79;577’943.00;2’769’925.18;96.33;96.29
11/Mar/2022;EUR;4.73;577’943.00;2’736’448.45;95.17;95.12
10/Mar/2022;EUR;4.69;577’943.00;2’708’409.24;94.19;94.15
09/Mar/2022;EUR;4.76;577’943.00;2’752’960.47;95.74;95.70
08/Mar/2022;EUR;4.56;577’943.00;2’632’555.88;91.56;91.49
07/Mar/2022;EUR;4.57;577’943.00;2’641’932.74;91.88;91.83
04/Mar/2022;EUR;4.62;577’943.00;2’667’826.11;92.78;92.73
03/Mar/2022;EUR;4.76;577’943.00;2’750’054.88;95.64;95.59
02/Mar/2022;EUR;4.85;577’943.00;2’800’401.20;97.39;97.34
01/Mar/2022;EUR;4.82;577’943.00;2’788’149.29;96.97;96.92
28/Feb/2022;EUR;4.93;577’943.00;2’850’731.22;99.14;99.10
25/Feb/2022;EUR;4.89;577’943.00;2’826’045.15;98.29;98.23
24/Feb/2022;EUR;4.74;577’943.00;2’737’217.08;95.20;95.14
23/Feb/2022;EUR;4.85;577’943.00;2’802’806.37;97.48;97.43
22/Feb/2022;EUR;4.86;577’943.00;2’807’799.56;97.65;97.60
21/Feb/2022;EUR;4.85;577’943.00;2’805’264.91;97.56;97.52
18/Feb/2022;EUR;4.92;577’943.00;2’841’056.09;98.81;98.76
17/Feb/2022;EUR;4.96;577’943.00;2’866’119.60;99.68;99.63
16/Feb/2022;EUR;4.98;577’943.00;2’880’870.50;100.19;100.15
15/Feb/2022;EUR;4.98;577’943.00;2’880’171.91;100.17;100.12
14/Feb/2022;EUR;4.90;577’943.00;2’831’962.14;98.49;98.44
11/Feb/2022;EUR;4.99;577’943.00;2’881’811.86;100.22;100.18
10/Feb/2022;EUR;5.03;577’943.00;2’906’146.28;101.07;101.03
09/Feb/2022;EUR;5.05;577’943.00;2’917’895.66;101.48;101.44
08/Feb/2022;EUR;4.96;577’943.00;2’868’306.67;99.76;99.71
07/Feb/2022;EUR;4.97;577’943.00;2’873’152.44;99.92;99.89
04/Feb/2022;EUR;4.94;577’943.00;2’855’481.11;99.31;99.27
03/Feb/2022;EUR;5.03;577’943.00;2’904’479.85;101.01;100.98
02/Feb/2022;EUR;5.13;577’943.00;2’963’172.40;103.05;103.02
01/Feb/2022;EUR;5.10;577’943.00;2’945’417.50;102.44;102.40
31/Jan/2022;EUR;5.05;620’624.00;3’133’071.98;101.47;101.43
28/Jan/2022;EUR;5.00;620’624.00;3’105’195.12;100.57;100.53
27/Jan/2022;EUR;5.06;620’624.00;3’138’404.79;101.64;101.61
26/Jan/2022;EUR;5.03;620’624.00;3’119’076.58;101.02;100.98
25/Jan/2022;EUR;4.95;620’624.00;3’070’878.20;99.46;99.42
24/Jan/2022;EUR;4.92;620’624.00;3’054’622.03;98.93;98.89
21/Jan/2022;EUR;5.11;620’624.00;3’169’475.62;102.65;102.61
20/Jan/2022;EUR;5.21;620’624.00;3’232’073.92;104.68;104.64
19/Jan/2022;EUR;5.17;620’624.00;3’208’237.69;103.90;103.87
18/Jan/2022;EUR;5.16;620’624.00;3’202’774.31;103.73;103.69
17/Jan/2022;EUR;5.22;620’624.00;3’238’709.36;104.89;104.85
14/Jan/2022;EUR;5.18;620’624.00;3’217’234.02;104.20;104.15
13/Jan/2022;EUR;5.24;620’624.00;3’254’973.98;105.42;105.38
12/Jan/2022;EUR;5.25;620’624.00;3’259’302.90;105.56;105.52
11/Jan/2022;EUR;5.23;620’624.00;3’245’583.83;105.11;105.08
10/Jan/2022;EUR;5.19;620’624.00;3’218’695.58;104.24;104.22
07/Jan/2022;EUR;5.28;620’624.00;3’275’941.27;106.10;106.09
06/Jan/2022;EUR;5.31;620’624.00;3’294’444.72;106.70;106.68
05/Jan/2022;EUR;5.39;640’000.00;3’448’191.31;108.29;108.33
04/Jan/2022;EUR;5.40;640’000.00;3’455’254.89;108.52;108.56
31/Dec/2021;EUR;5.35;640’000.00;3’426’410.07;107.61;107.68
30/Dec/2021;EUR;5.36;640’000.00;3’433’043.23;107.82;107.88
29/Dec/2021;EUR;5.36;640’000.00;3’428’226.59;107.67;107.74
24/Dec/2021;EUR;5.30;640’000.00;3’389’465.13;106.45;106.51
23/Dec/2021;EUR;5.30;640’000.00;3’392’438.84;106.54;106.61
22/Dec/2021;EUR;5.25;640’000.00;3’362’730.24;105.61;105.69
21/Dec/2021;EUR;5.20;640’000.00;3’330’415.54;104.60;104.71
20/Dec/2021;EUR;5.14;1’040’000.00;5’342’410.93;103.25;103.39
17/Dec/2021;EUR;5.21;1’040’000.00;5’416’552.47;104.68;104.80
16/Dec/2021;EUR;5.23;1’040’000.00;5’442’967.27;105.20;105.34
15/Dec/2021;EUR;5.17;1’040’000.00;5’378’897.04;103.96;104.07
14/Dec/2021;EUR;5.15;1’040’000.00;5’351’757.57;103.43;103.54
13/Dec/2021;EUR;5.20;1’040’000.00;5’410’023.89;104.56;104.73
10/Dec/2021;EUR;5.22;1’040’000.00;5’427’647.48;104.90;105.04
09/Dec/2021;EUR;5.24;1’040’000.00;5’451’594.33;105.36;105.48
08/Dec/2021;EUR;5.24;1’040’000.00;5’453’573.77;105.40;105.50
07/Dec/2021;EUR;5.28;1’040’000.00;5’490’705.21;106.12;106.21
06/Dec/2021;EUR;5.16;1’040’000.00;5’364’275.62;103.67;103.79
03/Dec/2021;EUR;5.10;1’040’000.00;5’301’322.58;102.46;102.58
02/Dec/2021;EUR;5.13;1’040’000.00;5’331’626.68;103.04;103.14
01/Dec/2021;EUR;5.19;1’040’000.00;5’399’413.53;104.35;104.45
30/Nov/2021;EUR;5.12;1’040’000.00;5’321’423.78;102.85;102.96
29/Nov/2021;EUR;5.15;1’040’000.00;5’355’081.66;103.50;103.58
26/Nov/2021;EUR;5.12;1’040’000.00;5’320’747.07;102.83;102.92
25/Nov/2021;EUR;5.30;2’040’000.00;10’801’964.56;106.43;106.46
24/Nov/2021;EUR;5.26;2’040’000.00;10’739’593.71;105.82;105.85
23/Nov/2021;EUR;5.25;2’040’000.00;10’719’285.51;105.62;105.65
22/Nov/2021;EUR;5.33;2’040’000.00;10’878’898.95;107.19;107.21
19/Nov/2021;EUR;5.35;2’040’000.00;10’904’449.13;107.44;107.48
18/Nov/2021;EUR;5.35;2’040’000.00;10’924’131.88;107.63;107.65
17/Nov/2021;EUR;5.37;2’040’000.00;10’960’767.81;108.00;108.00
16/Nov/2021;EUR;5.36;2’040’000.00;10’936’710.43;107.76;107.76
15/Nov/2021;EUR;5.35;2’040’000.00;10’924’154.93;107.63;107.63
12/Nov/2021;EUR;5.34;2’040’000.00;10’897’572.66;107.37;107.38
11/Nov/2021;EUR;5.32;2’040’000.00;10’858’920.44;106.99;107.00
10/Nov/2021;EUR;5.30;2’040’000.00;10’816’230.94;106.57;106.57
09/Nov/2021;EUR;5.29;2’040’000.00;10’796’295.12;106.37;106.37
08/Nov/2021;EUR;5.30;2’040’000.00;10’815’731.87;106.57;106.57
05/Nov/2021;EUR;5.29;2’040’000.00;10’800’076.49;106.41;106.42
04/Nov/2021;EUR;5.31;2’040’000.00;10’822’296.83;106.63;106.66
03/Nov/2021;EUR;5.29;2’040’000.00;10’783’109.58;106.24;106.27
02/Nov/2021;EUR;5.27;2’040’000.00;10’745’026.65;105.87;105.88
01/Nov/2021;EUR;5.25;2’040’000.00;10’712’942.32;105.55;105.56
29/Oct/2021;EUR;5.21;2’040’000.00;10’638’045.48;104.82;104.82
28/Oct/2021;EUR;5.21;2’040’000.00;10’634’411.37;104.78;104.79
27/Oct/2021;EUR;5.18;2’040’000.00;10’571’809.84;104.16;104.19
26/Oct/2021;EUR;5.19;2’040’000.00;10’594’445.53;104.39;104.38
25/Oct/2021;EUR;5.15;2’040’000.00;10’497’801.15;103.43;103.45
22/Oct/2021;EUR;5.15;2’040’000.00;10’507’338.86;103.53;103.53
21/Oct/2021;EUR;5.12;1’040’000.00;5’323’753.86;102.89;102.90
20/Oct/2021;EUR;5.12;1’040’000.00;5’325’870.83;102.93;102.93
19/Oct/2021;EUR;5.10;1’040’000.00;5’304’792.91;102.52;102.52
18/Oct/2021;EUR;5.08;1’040’000.00;5’282’316.80;102.09;102.09
15/Oct/2021;EUR;5.10;1’040’000.00;5’305’818.29;102.54;102.55
14/Oct/2021;EUR;5.06;1’040’000.00;5’264’362.51;101.74;101.77
13/Oct/2021;EUR;5.01;1’040’000.00;5’209’584.64;100.68;100.70
12/Oct/2021;EUR;4.97;1’040’000.00;5’165’301.52;99.83;99.84
11/Oct/2021;EUR;4.96;1’040’000.00;5’160’864.07;99.74;99.76
08/Oct/2021;EUR;4.96;1’040’000.00;5’162’358.21;99.77;99.78
07/Oct/2021;EUR;4.99;1’040’000.00;5’185’295.05;100.22;100.22
06/Oct/2021;EUR;4.91;1’040’000.00;5’109’990.72;98.76;98.79
05/Oct/2021;EUR;4.96;1’040’000.00;5’157’216.39;99.67;99.68
04/Oct/2021;EUR;4.91;1’040’000.00;5’102’013.06;98.61;98.62
01/Oct/2021;EUR;4.93;1’040’000.00;5’129’766.14;99.14;99.15
30/Sept/2021;EUR;4.95;1’040’000.00;5’151’315.58;99.56;99.56
29/Sept/2021;EUR;4.96;1’040’000.00;5’155’545.90;99.64;99.63
28/Sept/2021;EUR;4.93;1’040’000.00;5’123’988.95;99.03;99.03
27/Sept/2021;EUR;5.04;1’040’000.00;5’243’459.11;101.34;101.32
24/Sept/2021;EUR;5.06;1’040’000.00;5’263’614.78;101.73;101.73
23/Sept/2021;EUR;5.12;1’040’000.00;5’321’191.25;102.84;102.86
22/Sept/2021;EUR;5.07;1’040’000.00;5’274’169.04;101.93;101.95
21/Sept/2021;EUR;5.03;1’040’000.00;5’232’240.14;101.12;101.16
20/Sept/2021;EUR;4.98;1’040’000.00;5’174’697.52;100.01;100.08
17/Sept/2021;EUR;5.05;1’040’000.00;5’255’356.92;101.57;101.62
16/Sept/2021;EUR;5.10;1’040’000.00;5’300’366.21;102.44;102.51
15/Sept/2021;EUR;5.07;1’040’000.00;5’268’841.04;101.83;101.90
14/Sept/2021;EUR;5.12;1’040’000.00;5’322’966.57;102.88;102.93
13/Sept/2021;EUR;5.11;1’040’000.00;5’315’708.09;102.74;102.78
10/Sept/2021;EUR;5.10;1’040’000.00;5’303’453.51;102.50;102.54
09/Sept/2021;EUR;5.12;1’040’000.00;5’319’910.02;102.82;102.86
08/Sept/2021;EUR;5.12;1’040’000.00;5’320’802.39;102.83;102.89
07/Sept/2021;EUR;5.17;1’040’000.00;5’379’452.31;103.97;104.01
06/Sept/2021;EUR;5.20;1’040’000.00;5’404’465.96;104.45;104.49
03/Sept/2021;EUR;5.16;1’040’000.00;5’371’480.46;103.81;103.86
02/Sept/2021;EUR;5.20;1’040’000.00;5’404’563.27;104.45;104.49
01/Sept/2021;EUR;5.18;1’040’000.00;5’389’579.73;104.16;104.19
31/Aug/2021;EUR;5.15;1’040’000.00;5’352’270.99;103.44;103.47
27/Aug/2021;EUR;5.16;1’040’000.00;5’370’775.21;103.80;103.82
26/Aug/2021;EUR;5.15;1’040’000.00;5’351’672.73;103.43;103.45
25/Aug/2021;EUR;5.16;1’040’000.00;5’366’551.69;103.72;103.74
24/Aug/2021;EUR;5.17;1’040’000.00;5’375’045.73;103.88;103.92
23/Aug/2021;EUR;5.18;1’040’000.00;5’382’300.90;104.02;104.07
20/Aug/2021;EUR;5.15;1’040’000.00;5’352’833.59;103.45;103.50
19/Aug/2021;EUR;5.13;1’040’000.00;5’332’644.06;103.06;103.12
18/Aug/2021;EUR;5.19;1’040’000.00;5’394’046.84;104.25;104.28
17/Aug/2021;EUR;5.17;1’040’000.00;5’378’827.19;103.96;103.99
16/Aug/2021;EUR;5.17;1’040’000.00;5’375’699.38;103.90;103.93
13/Aug/2021;EUR;5.19;1’040’000.00;5’396’770.21;104.30;104.32
12/Aug/2021;EUR;5.17;1’020’000.00;5’277’667.13;104.00;104.02
11/Aug/2021;EUR;5.16;970’000.00;5’007’501.06;103.76;103.78
10/Aug/2021;EUR;5.14;970’000.00;4’987’771.11;103.35;103.37
09/Aug/2021;EUR;5.13;970’000.00;4’971’917.35;103.03;103.05
06/Aug/2021;EUR;5.12;1’000’000.00;5’115’184.46;102.81;102.83
05/Aug/2021;EUR;5.12;1’000’000.00;5’117’598.66;102.86;102.88
04/Aug/2021;EUR;5.09;1’000’000.00;5’089’526.24;102.30;102.32
03/Aug/2021;EUR;5.05;1’000’000.00;5’049’014.48;101.48;101.51
02/Aug/2021;EUR;5.04;1’000’000.00;5’043’999.12;101.38;101.40
30/Jul/2021;EUR;5.01;1’000’000.00;5’012’614.45;--;100.77
29/Jul/2021;EUR;5.03;1’000’000.00;5’028’236.03;--;101.08
28/Jul/2021;EUR;5.02;1’000’000.00;5’015’593.70;100.75;100.82
27/Jul/2021;EUR;4.98;1’000’000.00;4’975’142.70;100.00;100.00